Lens ID,Title,Publication Year,Publication Type,Source Title,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Keywords
188-900-408-287-538,Stress endurance mediates the healthspan-promoting effect of two newly described iridoid glycosides from Verbascum nigrum ssp. abietinum in Caenorhabditis elegans.,2026,journal article,Phytomedicine : international journal of phytotherapy and phytopharmacology,Elsevier BV,Netherlands,Slaveya Krustanova; Monika N Todorova; Vanya Gerasimova; Martina S Savova; Stoyan Stoyanov; Milena P Popova; Milen I Georgiev; Kalina Alipieva,"<AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Natural products are emerging as promising options for promoting health and managing age-related diseases. Iridoid glycosides, a diverse class of monoterpenoids, exert multiple beneficial effects and are of significant interest in pharmaceutical research. They are abundant in Scrophulariaceae, particularly in the genus Verbascum L. (mulleins). However, the infraspecific taxon V. nigrum ssp. abietinum (Borbas) I.K. Ferguson, native to the Balkan Peninsula, has not been previously investigated regarding chemical composition or healthspan-modulating potential.</AbstractText>;           <AbstractText Label=""PURPOSE"" NlmCategory=""OBJECTIVE"">This study aimed to isolate and characterize the main secondary metabolites of V. nigrum ssp. abietinum and to evaluate the effects of iridoid glycosides on age-related physiological changes and stress tolerance in Caenorhabditis elegans. We focused on two newly isolated sinuatol derivatives (1 and 2) and their influence on conserved molecular networks regulating stress response and aging.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">Following isolation and identification of compounds 1 and 2, phenotypic analyses were conducted to assess toxicity, lifespan, physiology, and stress resistance. Basal metabolism and molecular mechanisms were further examined.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Methanol extract of aerial parts of V. nigrum ssp. abietinum yielded two previously undescribed iridoid glycosides (1 and 2) along with twelve known constituents. Both compounds upregulated sek-1/p38 (MAPK) and sqst-1/p62 (SQSTM1), indicating enhanced autophagy and stress response. Additionally, sgk-1/SGK-1, hsf-1/HSF1, and tcer-1/TCERG1 were consistently overexpressed, suggesting improved oxidative stress defense, heat shock response, and transcriptional regulation. Notably, the selective upregulation of hsp-16.1 and hsp-16.2 upon supplementation with compound 1 suggests a stereospecific interaction with the HSP network, potentially linked to the positional arrangement of the caffeoyl moiety.</AbstractText>;           <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">This study provides the first evidence that iridoid glycosides 1 and 2 from V. nigrum ssp. abietinum promote C. elegans healthspan by enhancing stress response through modulation of genes related to autophagy and inflammation.</AbstractText>;           <CopyrightInformation>Copyright © 2026 The Author(s). Published by Elsevier GmbH.. All rights reserved.</CopyrightInformation>",153,,Aging; Caenorhabditis elegans; Healthspan; Iridoid glycosides; Stress response; Verbascum nigrum
188-913-512-179-492,Incidence and prevalence of kidney replacement therapy in central and eastern europe -trends from the ERA registry.,2026,journal article,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",Oxford University Press,United Kingdom,Marjolein Bonthuis; Anneke Kramer; Sevcan A Bakkaloğlu; Jaakko Helve; Nikola Gjorgjievski; Halima Resic; Anders Åsberg; Nicos Mitsides; Alicja M Dębska-Ślizień; Kirill S Komissarov; Viktorija Kuzema; Nurhan Seyahi; Belén Ponte; Edita Ziginskiene; Mirjana Lausevic; Ivan Rychlík; Mai Ots-Rosenberg; Evgueniy Vazelov; George Moustakas; Adrián Okša; Ariana Strakosha; Liliana Garneata; Dajana Katicic; Roser Torra; Alberto Ortiz; Vianda S Stel,"<AbstractText Label=""BACKGROUND AND HYPOTHESIS"" NlmCategory=""OBJECTIVE"">Kidney replacement therapy (KRT) practices in Europe are heterogeneous, with apparent differences between Western and Central/Eastern Europe. However, time trends in KRT incidence and prevalence in Central and Eastern Europe are not previously reported. Therefore, we aimed to describe trends in incidence and prevalence of KRT in Central and Eastern Europe from 2010 to 2021.</AbstractText>;           <AbstractText Label=""METHODS"" NlmCategory=""METHODS"">Data on incident and prevalent KRT patients from 19 Central and Eastern European countries between the years 2010 and 2021 were derived from the European Renal Association (ERA) Registry. Time trends were calculated using JoinPoint regression.</AbstractText>;           <AbstractText Label=""RESULTS"" NlmCategory=""RESULTS"">Overall, KRT incidence increased with 1.5% (95% confidence interval (CI): +0.7 to + 2.6%) per year from 106.3 per million population (pmp) in 2010 to 119.6 pmp in 2019. However, trends differed within the region. While in Bosnia and Herzegovina KRT incidence significantly decreased from 2010 to 2019, it remained stable in nine and increased in eight countries. The overall KRT prevalence increased with 5.1% (95% CI: +4.5 to + 5.7%) per year from 426.2 pmp in 2010 to 651.2 pmp in 2019. KRT prevalence increased in all countries, except for Belarus where it remained stable, and was mainly attributable to increases in the prevalence of kidney transplantation. The COVID-19 pandemic did not have a major impact on KRT incidence and prevalence in the region, as most trends remained until 2021.</AbstractText>;           <AbstractText Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"">Although we found an overall increase in KRT incidence and prevalence in the region, large country variations remain, much larger than observed in Western Europe. The results of this study can help to define country-specific priorities for the optimization of KRT care in Central and Eastern Europe.</AbstractText>;           <CopyrightInformation>© The Author(s) 2026. Published by Oxford University Press on behalf of the ERA.</CopyrightInformation>",,,Central and Eastern Europe; dialysis; incidence; kidney transplantation; prevalence; trends
188-928-904-992-361,Cycloastragenol Improves Fatty Acid Metabolism Through NHR-49/FAT-7 Suppression and Potent AAK-2 Activation in Caenorhabditis elegans Obesity Model.,2026,journal article,International journal of molecular sciences,MDPI AG,Switzerland,Liliya V Mihaylova; Martina S Savova; Monika N Todorova; Valeria Tonova; Biser K Binev; Milen I Georgiev,"Obesity is among the top contributing factors for non-communicable chronic disease development and has attained menacing global proportions, affecting approximately one of eight adults. Phytochemicals that support energy metabolism and prevent obesity development have been the subject of intense research endeavors over the past several decades. Cycloastragenol is a natural triterpenoid compound and aglycon of astragaloside IV, known for activating telomerase and mitigating cellular aging. Here, we aim to characterize the effect of cycloastragenol on lipid metabolism in a glucose-induced obesity model in <i>Caenorhabditis elegans</i>. We assessed the changes in the body length, width, and area in <i>C. elegans</i> maintained under elevated glucose through automated WormLab system. Lipid accumulation in the presence of either cycloastragenol (100 μM) or orlistat (12 μM), used as a positive anti-obesity control drug, was quantified through Nile Red fluorescent staining. Furthermore, we evaluated the changes in key energy metabolism molecular players in GFP-reporter transgenic strains. Our results revealed that cycloastragenol treatment decreased mean body area and reduced lipid accumulation in the <i>C. elegans</i> glucose-induced model. The mechanistic data indicated that cycloastragenol suppresses the nuclear hormone receptor family member NHR-49 and the delta(9)-fatty-acid desaturase 7 (FAT-7) enzyme, and activates the 5'-AMP-activated protein kinase catalytic subunit alpha-2 (AAK-2) and the protein skinhead 1 (SKN-1) signaling. Collectively, our findings highlight that cycloastragenol reprograms lipid metabolism by down-regulating the insulin-like receptor (<i>daf-2</i>)/phosphatidylinositol 3-kinase (<i>age-1</i>)/NHR-49 signaling while simultaneously enhancing the activity of the AAK-2/NAD-dependent protein deacetylase (SIR-2.1) pathway. The anti-obesogenic potential of cycloastragenol rationalizes further validation in the context of metabolic diseases and obesity management.",27,2,Caenorhabditis elegans; cycloastragenol; lipid metabolism; obesity; orlistat; triterpenoids
189-817-599-879-34X,Robotic SADI-S in modern bariatric surgery: A systematic review and limited meta-analysis of comparative and single-arm evidence.,2026,journal article,Journal of robotic surgery,Springer Science and Business Media LLC,Germany,Zohaib Jamal; Asher Siddiqui; Muhammad Ijlal Haider; Sadeem Alam; Imran Alam,,20,1,Bariatric surgery; Meta-analysis; Metabolic surgery; Perioperative outcomes; Robotic SADI-S; Robotic surgery; Single-anastomosis duodeno-ileal bypass
190-422-764-063-23X,ЗАД КУЛИСИТЕ НА DER BULGARIENWART (БЪЛГАРСКИ НАБЛЮДАТЕЛЬ): ЛИЧНОСТИ И МЕЖДУКУЛТУРЕН ОБМЕН,2026,journal article,Filologičeski rakursi,,,Шуменски университет „Епископ Константин Преславски“; Илияна Обретенова-Велинов,"Abstract: The editorial team of a certain periodical plays a significant role in shaping its image and prestige, as well as in selecting the topics and content of the published material. When this occurs in an international setting and in the context of an intercultural communication, the responsibility of publishers and editors is enormous, often expressed in pressure and foreign influence, which the editorial board must take into account. This article examines the little-known and deeply forgotten in Bulgaria publishers and editors of the Bulgarian Germanlanguage periodical Der Bulgarienwart, published during the historically eventful period of the 1930s and early 1940s in Bulgaria. Key words: editorial team and publishers of a periodical, between the two world wars, German cultural influence.",IV,,
190-941-503-417-006,Exitianus africanus,2026,journal article,Zenodo (CERN European Organization for Nuclear Research),,,Radost Angelova; Ilia Gjonov; Apostolos Trichas,"Exitianus africanus (Walker, 1851) Exitianus capicola (Stål, 1855) in Dlabola (1977), Tsagkarakis et al. (2018), Antonatos et al. (2020). Distribution Literature data: Chania: Near the Kiliaris River. Heraklion: Platanos; Faistos; Almyros (Dlabola 1977, Tsagkarakis et al. 2018, Antonatos et al. 2020). New data: Heraklion: Platanos; near the Almyros River. Notes Collected in pitfall traps from June to September up to 93 m a. s. l.",,,
191-090-599-650-489,"Left-Sided Lung Abscess, Complicated with Bronchoperitoneal Fistula: Case Report",2026,journal article,Acta Medica Bulgarica,Walter de Gruyter GmbH,,I. Lytvynenko; S. Sopotensky,"<jats:title>Abstract</jats:title>;                   <jats:p>Bronchogenic lung abscess complicated by the development of a bronchoperi-toneal fistula is an extremely rare and potentially life-threatening condition. It may be associated with severe sepsis, air leakage, and often requires urgent surgical treatment supported by an interdisciplinary team and intensive care management. We present a case of an 18-year-old male patient who was transferred to our institution with a left lower lobe lung abscess, developed secondary to massive bilateral pneumonia, and complicated by bron-choperitoneal fistula formation, diffuse fibrinopurulent peritonitis, and pneumoperitoneum. Complex surgical treatment was performed, followed by intensive postoperative care. The patient was successfully discharged on the 23rd postoperative day.</jats:p>",53,s1,
191-183-953-103-908,"PolyglotFakeFacts: A multilingual dataset of fake and real news across politics, security, and social domains_v2.0",2026,dataset,Mendeley Data,,,Alexandru Ciobanu,"PolyglotFakeFacts v2.0 is an updated and expanded version of the original dataset (V1, DOI: 10.17632/gff8bmr4ff.1), published in February 2026. This version incorporates newly obtained data, providing an enriched and more comprehensive multilingual resource for fake and real news detection research. The dataset now comprises 10,206 articles in total — 4,912 fake news entries and 5,294 real/true news entries — collected from online sources across 18 languages: Arabic, Armenian, Azerbaijani, Bulgarian, Czech, English, Finnish, French, Georgian, German, Hungarian, Italian, Lithuanian, Romanian, Russian, Slovak, Spanish, and Swedish. Each article is available both in its original language and in an English translated version. To ensure balance, real news was collected from sources covering each of the 18 languages represented in the fake news subset. PolyglotFakeFacts is a multilingual dataset designed to support research on the detection of fake and real news across diverse domains such as politics, geopolitics, security, social issues, and military affairs. Fake news articles were sourced from outlets flagged by EUvsDisinfo — the flagship project of the East StratCom Task Force within the EEAS (European External Action Service) — while real news was curated from official and editorially credible sources in each represented language. The research hypothesis underpinning this dataset is that linguistic and contextual markers of misinformation can be systematically identified across multiple languages, enabling the development of more robust and generalizable fake news detection models. Among the key findings is that fake news articles often display recurring linguistic and structural patterns regardless of the language, while real news tends to follow more standardized journalistic conventions. This suggests that multilingual approaches to fake news detection could leverage both cross-linguistic similarities and domain-specific features. Each entry in the dataset is structured around ten fields: gathering date, news date, URL, source name, language, keywords, original headline, original text, English-translated text, and label (fake/non-fake). All samples were pre-processed to ensure consistent formatting and removal of duplicates. This dataset can be interpreted and used by researchers aiming to: train and evaluate machine learning and deep learning models for fake news classification, perform cross-lingual and multilingual comparative studies, and investigate the linguistic, semantic, and thematic characteristics of misinformation. By providing a curated, multilingual, and domain-diverse resource, PolyglotFakeFacts enables the community to develop more transparent, explainable, and resilient AI models for combating online misinformation.",,,
191-233-800-260-286,Neuroendocrine regulation of appetite,2026,journal article,Folia Medica,Pensoft Publishers,Bulgaria,Nikolay Botushanov; Aleksandar Botushanov; Albena Botushanova,"<jats:p>;                     <jats:bold>Abstract</jats:bold>;                   </jats:p>;                   <jats:p>Appetite is primarily regulated by complex neuroendocrine pathways that integrate peripheral and central signals to maintain energy homeostasis. Two principal systems govern feeding behavior: the homeostatic system, which responds to metabolic needs, and the hedonic system, which is driven by reward and sensory inputs. The gastrointestinal tract, one of the largest endocrine organs, plays a pivotal role by secreting appetite-regulating hormones in response to nutrients. These signals act on central circuits, particularly within the hypothalamus, involving first-order neurons such as neuropeptide Y/agouti-related peptide and pro-opiomelanocortin/cocaine- and amphetamine-regulated transcript. In addition, gut-derived hormones like ghrelin, peptide YY, glucagon-like peptide 1, cholecystokinin, and others modulate central and vagal pathways. This review provides a detailed account of the molecular and anatomical mechanisms underlying appetite regulation, focusing on the neuroendocrine interactions between the gut and the brain.</jats:p>",68,1,
191-428-920-065-979,"Sanitation and Healthcare in Haskovo, 1885–1901",2026,journal article,Istoricheski Pregled (Historical Review),Institute for Historical Studies - Bulgarian Academy of Sciences,,Veselina Uzunova,"<jats:p>Developments in sanitation and healthcare in Bulgaria serve as indicators of a society’s civilizational progress and its pursuit of sustainability and prosperity. This study offers the first examination of the development of sanitation and healthcare in the post-Unification period (after 1885) in Haskovo, a district of the former Eastern Rumelia. The creation of local sanitary authorities was a difficult process, beset by economic, logistical, and social constraints. Haskovo also proved unattractive to Bulgarian physicians and medical staff, who seldom remained in post for more than a year. The challenges facing these early practitioners were considerable, as were their efforts and motivation – many of them later undeservedly forgotten.; ; Keywords: Haskovo, healthcare, sanitation, first physicians.</jats:p>",82,1,
191-820-885-053-724,Dimensional Synthesis of a Pulse-Type Adjustable Speed Drive Based on a Six-Bar Watt II Linkage,2026,conference proceedings article,"The 17th International Scientific Conference on Aerospace, Automotive, and Railway Engineering",MDPI,,Rosen Mitrev; Lubomir Tsonov; Todor Todorov,"This paper presents a method for dimensional synthesis of a pulse-type adjustable speed mechanical drive, realized through a Watt II six-bar linkage combined with an overrunning clutch. The goal is to achieve a transmission ratio that varies smoothly and linearly by adjusting the angle of a control lever, while meeting kinematic, geometric, and force constraints. The kinematic characteristics are derived analytically using vector-loop equations, enabling comparison with a predefined linear reference function. An optimization problem is formulated to minimize the maximum deviation between the actual and reference output angles across the entire operating interval. The solution employs a metaheuristic algorithm for global search followed by a local refinement phase. Three optimization scenarios are analyzed, each with different levels of design freedom regarding the parameters defining the linear reference function. The results demonstrate a clear trade-off between accuracy and functional tunability, highlighting the most effective balance for practical applications. This approach can be used for designing mechanical drives with adjustable speed features and can be applied to other complex linkage systems.",,,
191-986-488-948-022,"Slugs and semi-slugs of the superfamily Helicarionoidea (Gastropoda, Stylommatophora) collected in North Vietnam during the 2023 Bulgarian Zoological Expedition, with emphasis on the genus Ostracolethe",2026,dataset,The Catalogue of Life,,,Ivailo Dedov; Quang Manh Vu; Tuan Trieu Anh,,,,
192-016-998-615-921,Deltocephalinae Fieber 1869,2026,journal article,Zenodo (CERN European Organization for Nuclear Research),,,Radost Angelova; Ilia Gjonov; Apostolos Trichas,"Deltocephalinae undet. Notes There were 12 males, 72 females (six of which were Athysanini) and 12 nymphs (six of which were Fieberiellini and four of which were Goniagnathini) from various locations on the Island.",,,
192-287-052-074-372,Investigation on Robustness of Model-Based Fuzzy Logic Control Systems,2026,journal article,Applied Sciences,MDPI AG,,Desislava Stoitseva-Delicheva; Snejana Yordanova,"<jats:p>A novel engineering approach for assessing the robustness of fuzzy logic control (FLC) systems with modified parallel distributed compensation (MPDC) is presented. It addresses the problem of successful implementation and operation in industrial environment of designed systems for the control of complex plants with model uncertainty. The research steps on modified Takagi–Sugeno–Kang (MTSK) plant models MTSKn and MTSKlow already derived and validated for normal and low plant loads from experimental data for the level of the solution in an industrial carbonisation column for soda ash production. MPDC with PI linear local controllers are developed based on the MTSKn plant model, which differ in the parameters that are optimised by genetic algorithms for fitness functions with and without robustness requirements and different random initial parameter values. The MTSKn and each of the designed MPDC are represented according to suggested criteria by a nominal and varied linear plant model and controller, respectively. Then, robust stability and robust performance criteria are derived for the linearised MPDC–MTSKn systems. The system performance and robustness are investigated in the frequency domain and from the simulated reference step responses for MTSKn and MTSKlow, with the results benchmarked against an existing adaptive FLC.</jats:p>",16,4,
192-437-417-013-531,"""Art Is a Communion:"" A Generation's Search for Belonging",2026,book chapter,A Generation of Writers and Bulgarian Cultural Politics:,Central European University Press,,,"<jats:p>Chapter 1 explores the cultural and intellectual development of newly independent Bulgaria after 1878. It highlights the influence of European models on Bulgarian national identity, the role of state investment in education, and the emergence of a sophisticated public. The chapter introduces the post-Ottoman milieu and eclectic cultural tastes of the post-1878 generation, who saw the arts as a measure of national distinction and a path to civilizational progress. It explains the factors that prompted the generation to seek creative autonomy and communion with European culture. The chapter concludes by reflecting on the achievements and challenges faced by the post-1878 generation in their quest for cultural progress and social recognition.</jats:p>",,,
192-565-844-827-392,Cixidia (Epiptera) skaloula Asche 2015,2026,journal article,Zenodo (CERN European Organization for Nuclear Research),,,Radost Angelova; Ilia Gjonov; Apostolos Trichas,"Cixidia (Epiptera) skaloula Asche, 2015 Distribution Literature data: no specific location (Asche 2015). New data: Chania: Lake Agia. Notes Collected in pitfall trap from May to June at 44 m a. s. l. There are reports that the species occurs under the bark of decaying trees, where it probably feeds on the hyphae of saprotrophic fungi in the wood (Asche 2015).",,,
